"Time","—","—","—","—","—","—"
1,335.26911934581187,4.7088732912925479e-10,-0.10925550579189088,8.1756113131024577,-0.10925550577333723,8.1756113131027082
1.0000000000000169,335.26911934581187,-1.2535300205248252e-09,-0.10925550575363226,8.175611313128762,-0.10925550582176591,8.1756113131278525
1.0000100000000169,335.26751420836217,-1.0218613961400629,-0.086558905540569178,8.1911304847454929,-0.13802324908680941,8.1904249367762851
1.000020000000017,335.26269881186295,-2.0437127056672275,-0.063807704193257209,8.2065138221588612,-0.16692604626675767,8.2050640601689757
1.0000300000000171,335.2546732038403,-3.0655438445750178,-0.041001221392777801,8.2217610290757932,-0.1959613048039559,8.2195276437520821
1.0000400000000171,335.24343746350377,-4.0873447278026447,-0.018138785971737903,8.2368717988769209,-0.22512643207902627,8.2338146770661425
1.0000500000000172,335.2289917017456,-5.1091052705879552,0.0047802609963181197,8.2518458147729703,-0.25441883868204851,8.247924178616401
1.0000600000000173,335.21133606113932,-6.1308153885669299,0.027756563322289075,8.2666827500110731,-0.28383594146856161,8.2618551956850936
1.0000700000000173,335.19047071593928,-7.1524649978730581,0.050790747035342435,8.2813822681148785,-0.31337516640608243,8.2756068040785919
1.0000745994932321,335.17979610744015,-7.6223489505320376,0.06140159422503514,8.2880971619487216,-0.32700532168782726,8.2818713006942861
1.0000745994932605,335.179796107372,-7.6223489534355808,0.061401594290639253,8.2880971619901231,-0.32700532177213137,8.2818713007328775
1.0000845994932606,335.15424513463313,-8.6438921168006004,0.084522989234409707,8.3025953939855288,-0.35671661564735013,8.2953594055990099
1.0000945994932606,335.12548502076481,-9.6653499684401059,0.1077040629691576,8.3169553035888715,-0.38654340538395449,8.3086659508509122
1.0001045994932607,335.09351604961773,-10.686712426977483,0.13094516430848349,8.3311765266044908,-0.41648336523462454,8.3217901054991934
1.0001145994932608,335.05833853671277,-11.707969411977633,0.15424681567445298,8.3452586845694317,-0.44653398787623111,8.3347310688587068
1.0001245994932608,335.01995282923781,-12.729110844046374,0.17760951048235096,8.3592013911382406,-0.47669278725481734,8.3474880666222298
1.0001345994932609,334.97835930604424,-13.750126644929972,0.20103371165959949,8.3730042525063073,-0.50695730023440633,8.3600603503474407
1.000144599493261,334.93355837764329,-14.771006737614849,0.22451985032340538,8.3866668678498879,-0.537325088084458,8.3724471969189107
1.000154599493261,334.88555048620219,-15.791741046426427,0.24806458881323637,8.4001890245001434,-0.56779747488353305,8.3846477394743086
1.0001645994932611,334.83433610553925,-16.812319497129273,0.27167695606586584,8.4135698715055387,-0.59836340749386407,8.3966616928238373
1.0001745994932612,334.77991574111985,-17.832732017026103,0.29535225264099196,8.4268092347500563,-0.62902555797421444,8.4084881922628725
1.0001845994932612,334.72228993005103,-18.852968535057279,0.31909076063384101,8.4399066934152494,-0.65978160888408177,8.4201266104290724
1.0001936216143372,334.66754910524514,-19.773278888268919,0.34056202165212091,8.4516012791407178,-0.68760912130681362,8.4304650149597613
1.0001936216143656,334.66754910506853,-19.773278891167894,0.34056202171985162,8.4516012791773765,-0.68760912139458341,8.4304650149920874
1.0002036216143657,334.60382745073076,-20.793152823374289,0.36442130045306131,8.4644276363621476,-0.71853761991294773,8.4417440013426752
1.0002136216143658,334.53690208766392,-21.81282153555685,0.38834440458203218,8.477110845078407,-0.74955346124566891,8.4528332093476628
1.0002236216143658,334.46677367639415,-22.832274963997122,0.41233148968109268,8.4896504676204607,-0.78065442953277575,8.4637320953230688
1.0002336216143659,334.39344290906081,-23.851503047101193,0.43638277153360239,8.502046049606852,-0.81183824169258512,8.474440136212678
1.000243621614366,334.3169105094089,-24.870495725499456,0.46049817045408076,8.5142971697068184,-0.84310290661444687,8.4849568265211204
1.000253621614366,334.23717723278207,-25.889242942145547,0.48467766718027239,8.5264033930057792,-0.87444636630997241,8.4952816794836785
1.0002636216143661,334.15424386611596,-26.907734642415637,0.50892061086408003,8.5383643274003092,-0.90586718787159115,8.5054141706046273
1.0002736216143662,334.06811122792902,-27.925960774207944,0.5332681018222184,8.550175111051276,-0.93732203180106899,8.5153565225868313
1.0002836216143662,333.97878016831589,-28.943911288041569,0.5579399417565819,8.5618096681590661,-0.96858799265760731,8.5251228186383869
1.0002936216143663,333.88625156893801,-29.961576137155873,0.58297476103971901,8.5732595428868841,-0.99962386220641708,8.5347168023208528
1.0003036216143664,333.79052634301524,-30.978945277609739,0.60837131831247737,8.5845206204069147,-1.030428444917769,8.5441399311481963
1.0003136216143664,333.69160543531694,-31.996008668380398,0.63412827837295116,8.5955888046891324,-1.0610006119125075,8.5533936700148843
1.0003236216143665,333.58948982215259,-33.012756271462742,0.66024422099878,8.606460017741167,-1.0913392921856193,8.5624794900584345
1.0003336216143666,333.48418051136196,-34.029178051968543,0.68671764410970459,8.6171302003191741,-1.121443469668157,8.5713988681149935
1.0003436216143666,333.37567854230554,-35.045263978225059,0.71354670260001107,8.6275953636739651,-1.1513124494285281,8.5801532795090996
1.0003536216143667,333.26398498585388,-36.061004021874467,0.74072646027583711,8.6378521417094731,-1.1809486596361785,8.5887441208998219
1.0003636216143668,333.14910094437732,-37.076388157972623,0.76824319491965287,8.6478990311809838,-1.2103634766017084,8.5971725302305053
1.0003736216143668,333.03102755173495,-38.091406365087927,0.79607990851677291,8.6577354406857623,-1.2395716366816121,8.6054394622927202
1.0003836216143669,332.90976597326346,-39.106048625400604,0.82421897368770836,8.6673611925772427,-1.2685885461126123,8.6135457309898076
1.000393621614367,332.78531740576585,-40.120304924801033,0.85264240953221737,8.6767764753372862,-1.2974300034788904,8.6214920093666052
