"Time","<i>0</i>","<i>1.00294e-11</i>","<i>-4.28102e-12</i>","<i>-3.71718e-11</i>"
1,-1.7930809877554336e-13,0,62.459435444037211,-0.015282067829769781
1.0000000000000262,8.1987853864522441e-11,0,62.459435444104578,-0.015282067829453183
1.0000100000000263,0.031410759160460794,0,62.484777833036418,-0.015149290791846681
1.0000200000000263,0.062790519611454654,0,62.509369095801311,-0.015001177306767014
1.0000300000000264,0.094108313400836321,0,62.533184712821715,-0.014837864820558858
1.0000400000000265,0.12533323364627227,0,62.556200918819094,-0.014659505844103174
1.0000500000000265,0.15643446512221376,0,62.578394727297393,-0.014466267834597108
1.0000600000000266,0.18738131466763766,0,62.599743954298418,-0.014258333063106457
1.0000700000000267,0.21814324147785658,0,62.62022724140116,-0.014035898466635405
1.0000800000000267,0.24868988724593094,0,62.639824077938187,-0.013799175485987783
1.0000900000000268,0.27899110611954481,0,62.658514822402744,-0.013548389887949003
1.0001000000000269,0.30901699445485686,0,62.676280723020547,-0.013283781574038755
1.0001100000000269,0.33873792032470834,0,62.693103937462183,-0.013005604372876196
1.000120000000027,0.36812455276309308,0,62.708967551671037,-0.012714125818791425
1.0001300000000271,0.39714789071253542,0,62.723855597783839,-0.012409626915674227
1.0001400000000271,0.42577929164166939,0,62.737753071121233,-0.012092401886214077
1.0001500000000272,0.45399049981531686,0,62.750645946226754,-0.011762757906853475
1.0001600000000272,0.48175367417657289,0,62.762521191933786,-0.011421014828447557
1.0001700000000273,0.50904141582383955,0,62.773366785440274,-0.011067504882907048
1.0001800000000274,0.53582679505138919,0,62.78317172537318,-0.010702572375950107
1.0001900000000274,0.56208337792336305,0,62.79192604382439,-0.010326573366223593
1.0002000000000275,0.58778525236209367,0,62.799620817342159,-0.0099398753309714039
1.0002100000000276,0.61290705372127829,0,62.806248176862269,-0.009542856818602747
1.0002200000000276,0.63742398981524007,0,62.81180131656474,-0.0091359070882764577
1.0002300000000277,0.6613118653887291,0,62.816274501643136,-0.0087194257369607904
1.0002400000000278,0.68454710599221247,0,62.819663074974365,-0.0082938223142411012
1.0002500000000278,0.70710678124811721,0,62.821963462678866,-0.0078595159250459297
1.0002600000000279,0.72896862748128055,0,62.823173178561078,-0.0074169348210351886
1.000270000000028,0.75011106968825059,0,62.823290827422952,-0.0069665159805130843
1.000280000000028,0.77051324283173828,0,62.822316107243182,-0.0065087046777539586
1.0002900000000281,0.79015501242972364,0,62.820249810217319,-0.0060439540418547226
1.0003000000000282,0.80901699442672514,0,62.817093822654229,-0.0055727246056420654
1.0003100000000282,0.82708057432429205,0,62.812851123726468,-0.00509548384511523
1.0003200000000283,0.84432792554938507,0,62.807525783073615,-0.0046127057098483224
1.0003300000000284,0.86074202704914182,0,62.801122957258244,-0.0041248701448850511
1.0003400000000284,0.87630668008682444,0,62.793648885076415,-0.0036324626046398594
1.0003500000000285,0.89100652422882143,0,62.785110881725316,-0.0031359735592720499
1.0003600000000286,0.90482705250412332,0,62.7755173318332,-0.0026358979941226339
1.0003700000000286,0.91775462571949507,0,62.76487768135641,-0.0021327349028060398
1.0003800000000287,0.92977648592131179,0,62.753202428351642,-0.0016269867744232631
1.0003900000000288,0.94088076898477724,0,62.740503112631593,-0.0011191590755856851
1.0004000000000288,0.95105651632300325,0,62.726792304314301,-0.00060975972774220577
1.0004100000000289,0.9602936857021942,0,62.712083591277548,-9.9298580560495481e-05
1.000420000000029,0.96858316115112242,0,62.696391565531258,0.0004117131181639403
1.000430000000029,0.97591676195856014,0,62.679731808522092,0.00092276325541244353
1.0004400000000291,0.98228725074577972,0,62.662120875385916,0.0014333393878918816
1.0004500000000291,0.98768834060939525,0,62.643576278165177,0.0019429292785796783
1.0004600000000292,0.99211470132594903,0,62.62411646800922,0.0024510214340930738
1.0004700000000293,0.99556196461168678,0,62.603760816377331,0.0029571056422502311
1.0004800000000293,0.99802672843403839,0,62.582529595265271,0.0034606735091884389
1.0004900000000294,0.9995065603686285,0,62.5604439564773,0.0039612189952838621
1.0004999999999715,1,0,62.537525910102488,0.0044582389465569836
1.0004999999999999,1,0,62.537525910036209,0.004458238947966227
1.00051,0.99950656036573859,0,62.513798301344281,0.0049512336392254497
1.0005200000000001,0.9980267284282901,0,62.48928478814274,0.0054397072854825979
1.0005300000000001,0.99556196460307156,0,62.464009815942447,0.0059231685782729446
1.0005400000000002,0.99211470131441826,0,62.43799859296233,0.0064011312031742778
1.0005500000000003,0.98768834059507427,0,62.411277064204093,0.0068731143550759075
1.0005600000000003,0.9822872507285404,0,62.383871884758392,0.0073386432477680801
1.0005700000000004,0.97591676193859,0,62.355810392373797,0.0077972496170488625
1.0005800000000005,0.96858316112835585,0,62.32712057931986,0.0082484722169008737
1.0005900000000005,0.96029368567652673,0,62.297831063576709,0.008691857307923101
1.0006000000000006,0.95105651629471388,0,62.26797105938418,0.009126959137600938
1.0006100000000007,0.94088076895361294,0,62.237570347184672,0.009553340411590245
1.0006200000000007,0.92977648588744388,0,62.206659242994057,0.009970572755638802
1.0006300000000008,0.91775462568313759,0,62.175268567236039,0.010378237167408599
1.0006400000000009,0.9048270524649511,0,62.143429613075227,0.010775924457715764
1.0006500000000009,0.89100652418726023,0,62.111174114285838,0.011163235680591299
1.000660000000001,0.87630668004250256,0,62.07853421269224,0.011539782551736266
1.0006700000000011,0.8607420270023094,0,62.04554242521872,0.011905187854679866
1.0006800000000011,0.84432792550033209,0,62.012231610585687,0.012259085834330108
1.0006900000000012,0.82708057427257975,0,61.978634935690323,0.012601122577317861
