"Time","—","—","—","—","—","—"
1,335.26911934581187,3.2468623345494052e-09,61.410026046627102,0.62251343454190555,61.410026046639146,0.62251343335441656
1.0000000000000047,335.26911934581187,5.4387783166021109e-09,61.410026046590879,0.62251343490268352,61.410026046611314,0.62251343288753458
1.0000100000000047,335.23515520054389,4.7004065439210949,61.327631709499634,1.3950798060728762,61.342333958817179,-0.37778730296362062
1.0000200000000048,335.13326985787398,9.3998314626873025,61.235838927245766,2.1653317162691295,61.258657029822373,-1.3760702989540381
1.0000300000000049,334.96348459525109,14.097293347020903,61.134708155162748,2.93318416326413,61.159050325233046,-2.3720611012697477
1.000033111887396,334.89680201657848,15.558535901562209,61.101340684378115,3.1716283351883776,61.124812162412795,-2.6814917181974112
1.0000331118874244,334.89680201593944,15.558535914906759,61.101340684069285,3.171628337365052,61.124812162093107,-2.6814917210223612
1.0000331118874599,334.89680201514068,15.558535931587404,61.101340683683247,3.1716283400858978,61.124812161693491,-2.6814917245535499
1.00004311188746,334.63804309469185,20.251937577649631,60.988057307523754,3.9362085722584981,61.004410735074686,-3.674063545507515
1.00005311188746,334.31148767605811,24.94110986588263,60.865574621022759,4.6981990477623343,60.868226647854023,-4.6637145051082971
1.0000631118874601,333.91720395615692,29.62507352270066,60.733949526159741,5.4575194234894013,60.716329446472805,-5.65017538234531
1.0000731118874602,333.45527427609431,34.302850362274,60.593246520335448,6.2140924617074065,60.54880190142871,-6.6331785215186843
1.0000831118874602,332.92579510396882,38.973463490810417,60.4435196930879,6.9678402268243049,60.36572161482264,-7.6124584883590032
1.0000931118874603,332.32887701472532,43.635937510566976,60.284830131213837,7.7186877513258594,60.167178796460178,-8.5877517562263179
1.0001031118874604,331.66464466706282,48.289298723549521,60.117234390684317,8.4665604337740366,59.953264437884918,-9.5587969747385166
1.0001131118874604,330.93323677740159,52.932575334856701,59.940785262961477,9.2113842766655765,59.724071134070613,-10.525334455747004
1.0001231118874605,330.13480609091334,57.564797655627309,59.755549703038959,9.9530924489253412,59.479712243986157,-11.487105857517678
1.0001331118874606,329.26951934962267,62.184998305546927,59.561576483330597,10.691616605556478,59.220288710731339,-12.443852451611557
1.0001431118874606,328.33755725758539,66.792212414873404,59.358919959516612,11.426891374429221,58.945913150555057,-13.395318140698418
1.0001531118874607,327.33911444315004,71.385477825937031,59.147633517041591,12.158852277700891,58.65670294657918,-14.341249555529759
1.0001631118874608,326.27439941831301,75.963835294075338,58.927769784812405,12.887435725895912,58.352780411178486,-15.281396195561932
1.0001731118874608,325.14363453517325,80.526328687958681,58.699380465699825,13.612578909174616,58.034272550141601,-16.215510512819804
1.0001831118874609,323.94705593949664,85.072005189266235,58.462516436073521,14.334219760767425,57.701311096273812,-17.143348038209183
1.000193111887461,322.68491352140035,89.59991549166989,58.217227783758041,15.052296883410076,57.354032461607346,-18.064667522132165
1.000203111887461,321.35747086316604,94.109113999084599,57.963563460403584,15.766749278489444,56.992577248520604,-18.97923102789974
1.0002131118874611,319.96500518419458,98.598659023144208,57.701571731039742,16.477516331527827,56.617090558211189,-19.886804203074067
1.0002231118874612,318.50780728311179,103.06761297986057,57.431300091356903,17.184537698928352,56.227721774762443,-20.787156374292444
1.0002331118874612,316.98618147703957,107.5150425854267,57.152795251718956,17.887753236827141,55.824624424412676,-21.680060627678046
1.0002431118874613,315.40044553804233,111.9400190511205,56.866103155359369,18.58710294374891,55.407956067066507,-22.565293891007038
1.0002531118874614,313.75093062676507,116.3416182772706,56.571269001678282,19.282526905541197,54.977878189080016,-23.442637013566657
1.0002631118874614,312.0379812232743,120.71892104624283,56.268337268704386,19.973965240934131,54.534556091746538,-24.311874841460927
1.0002731118874615,310.26195505511794,125.0710132144069,55.957351737293408,20.661358049922281,54.078158779236873,-25.17279628817402
1.0002831118874616,308.42322302261846,129.39698590304374,55.638355525005139,21.344645370913213,53.608858856121643,-26.025194402373728
1.0002931118874616,306.52216912141535,133.69593568815301,55.311391109487076,22.023767139230053,53.126832415506961,-26.868866424996703
1.0003031118874617,304.55919036227203,137.9669647891219,54.976500353350289,22.698663148503488,52.632258928430197,-27.703613842273995
1.0003131118874617,302.53469668816547,142.20918125621483,54.633724531550172,23.369273014123777,52.125321134763801,-28.529242436414382
1.0003231118874618,300.44911088867553,146.42169915684585,54.283104359835775,24.035536138019626,51.606204934143065,-29.345562333649305
1.0003331118874619,298.30286851168933,150.60363876059435,53.924680023954636,24.697391674647452,51.075099276702225,-30.152388049569936
1.0003431118874619,296.09641777244394,154.75412672292535,53.558491209646242,25.354778498200833,50.532196053727489,-30.949538531846173
1.000353111887462,293.83021945992181,158.87229626757659,53.184577133367085,26.007635170945179,49.977689988183869,-31.736837200405521
1.0003631118874621,291.50474684062101,162.9572873675734,52.802976573545024,26.655899912401953,49.411778524833764,-32.514111985092129
1.0003731118874621,289.12048555971944,167.00824692483445,52.413727902693211,27.299510569324525,48.834661720109438,-33.281195361114953
1.0003831118874622,286.67793353965419,171.02432894833032,52.016869120438287,27.938404586416503,48.24654213171312,-34.037924382369958
1.0003931118874623,284.17760087613698,175.00469473075788,51.612437887413684,28.572518977769196,47.647624707877682,-34.784140712605804
1.0004031118874623,281.62000973162668,178.94851302369347,51.20047156000642,29.201790299027749,47.03811667627307,-35.519690654406595
1.0004131118874624,279.00569422628303,182.85496021118894,50.781007225961488,29.826154620306227,46.418227432562148,-36.244425175970214
1.0004231118874625,276.33520032642195,186.72322048177264,50.354081740846198,30.445547499873786,45.788168428611939,-36.958199935656467
